amount,installment_rate,present_residence,age,number_of_credits,people_liable,credit_history,purpose,personal_status,property,job,housing,telephone,foreign_worker,checking_account_status,savings_account_status,employment_years,duration,full_repaid
1555,4,4,55,2,2,delay_in_paying,repairs,M_single,no_property,official,free,0,1,0,7,7,12,False
6224,4,4,50,1,1,delay_in_paying,education,M_single,no_property,official,free,0,1,2,1,7,48,False
960,3,2,30,2,1,delay_in_paying,furniture_equipment,F_not_single,life_insurance  ,official,own,0,1,0,7,5,15,True
2578,3,4,55,1,1,existing_credit_paid,furniture_equipment,F_not_single,no_property,management,free,0,1,-1,1,0,12,True
11760,2,3,32,1,1,delay_in_paying,education,M_single,no_property,official,rent,1,1,2,3,5,39,True
15653,2,4,21,2,1,delay_in_paying,radio_TV,M_single,other,official,own,1,1,0,1,5,60,True
2687,2,4,26,1,1,existing_credit_paid,business,M_single,life_insurance  ,official,rent,1,1,5,1,5,15,True
5129,2,4,74,1,2,all_credit_paid,car_used,F_not_single,no_property,management,free,1,1,2,1,7,9,False
5943,1,1,44,2,1,existing_credit_paid,radio_TV,F_not_single,other,official,own,1,1,0,0,1,24,False
12169,4,4,36,1,1,all_credit_paid,car_new,M_single,no_property,management,free,1,1,2,0,0,48,True
7824,3,4,40,2,2,all_credit_paid,car_used,M_single,real_estate ,official,rent,1,1,0,0,1,28,True
5866,2,2,30,2,1,existing_credit_paid,car_new,M_single,other,official,own,1,1,2,3,3,18,True
5103,3,3,47,3,1,critical_account,radio_TV,M_divorced,no_property,official,free,1,1,0,1,1,24,True
2241,1,3,48,2,2,critical_account,car_new,M_single,real_estate ,unskilled,rent,0,0,-1,1,1,10,True
2746,4,4,31,1,1,all_credit_paid,furniture_equipment,M_single,other,official,own,0,1,-1,1,7,36,False
2348,3,2,46,2,1,critical_account,furniture_equipment,M_divorced,life_insurance  ,official,own,1,1,-1,1,3,36,True
3060,4,4,28,2,1,existing_credit_paid,radio_TV,M_single,real_estate ,official,own,0,1,2,1,5,48,False
1344,4,2,43,2,2,delay_in_paying,car_new,M_single,real_estate ,unskilled,own,0,1,-1,1,3,12,True
2759,2,4,34,2,1,no_credit_taken,furniture_equipment,M_single,life_insurance  ,official,own,0,1,0,1,7,12,True
1655,2,4,63,2,1,critical_account,radio_TV,M_single,real_estate ,unskilled,own,1,1,0,1,7,12,True
4746,4,2,25,2,1,critical_account,radio_TV,M_single,life_insurance  ,unskilled,own,0,1,2,1,1,45,False
10127,2,2,44,1,1,critical_account,car_new,M_single,no_property,official,free,0,1,0,5,3,48,False
2812,2,4,26,1,1,existing_credit_paid,car_used,F_not_single,real_estate ,official,rent,0,1,-1,0,7,24,True
1474,4,3,33,1,1,existing_credit_paid,car_new,M_divorced,real_estate ,official,own,1,1,0,3,1,24,True
1940,4,4,60,1,1,critical_account,car_new,M_single,real_estate ,official,own,1,1,0,7,7,24,True
3914,4,2,38,1,1,existing_credit_paid,business,M_divorced,real_estate ,official,own,0,1,0,0,3,48,False
1887,4,4,28,2,1,critical_account,business,M_divorced,real_estate ,official,own,0,1,2,0,3,18,True
10366,2,4,42,1,1,existing_credit_paid,car_new,M_single,life_insurance  ,management,own,1,1,0,1,7,60,True
3878,4,2,37,1,1,critical_account,car_new,M_divorced,other,official,own,1,1,2,3,1,24,True
3872,2,4,67,1,1,existing_credit_paid,repairs,F_not_single,other,official,own,1,1,2,1,0,18,True
7127,2,4,23,2,1,critical_account,furniture_equipment,F_not_single,life_insurance  ,official,rent,1,1,0,1,1,36,False
4280,4,4,26,2,1,no_credit_taken,business,F_not_single,other,unskilled,rent,0,1,2,3,3,30,False
1149,4,3,46,2,1,critical_account,radio_TV,M_single,real_estate ,official,own,0,1,0,7,3,18,True
1262,4,3,36,2,1,existing_credit_paid,domestic_appliances,M_single,life_insurance  ,official,own,1,1,0,5,5,15,True
2299,4,4,39,1,1,existing_credit_paid,radio_TV,M_single,other,official,own,0,1,0,5,7,36,True
1778,2,1,26,2,1,no_credit_taken,car_new,F_not_single,real_estate ,unemployed,rent,0,1,2,1,1,15,False
1924,1,4,38,1,1,existing_credit_paid,radio_TV,M_single,life_insurance  ,official,own,1,0,0,1,3,10,True
930,4,4,65,4,1,critical_account,radio_TV,M_single,real_estate ,official,own,0,1,0,0,7,12,True
11328,2,3,29,2,1,existing_credit_paid,others,M_single,other,management,own,1,1,2,1,3,24,False
2150,4,2,24,1,1,existing_credit_paid,car_new,F_not_single,no_property,official,own,0,1,2,1,3,30,False
448,4,4,23,1,1,existing_credit_paid,education,F_not_single,life_insurance  ,official,own,0,1,-1,1,1,6,False
4351,1,4,48,1,1,existing_credit_paid,furniture_equipment,F_not_single,life_insurance  ,unskilled,own,1,1,2,0,3,24,True
2235,4,2,33,2,1,critical_account,car_new,M_divorced,life_insurance  ,official,rent,0,0,-1,1,3,20,False
4605,3,4,24,2,2,no_credit_taken,car_used,M_single,no_property,official,free,0,1,-1,1,7,48,False
1659,4,2,29,1,1,delay_in_paying,radio_TV,F_not_single,other,unskilled,rent,1,1,-1,1,1,24,False
2279,4,4,37,1,1,existing_credit_paid,radio_TV,M_single,no_property,official,free,1,1,0,0,3,12,True
1592,3,2,35,1,1,critical_account,furniture_equipment,F_not_single,life_insurance  ,official,own,0,0,0,7,5,12,True
2251,1,2,46,1,1,existing_credit_paid,furniture_equipment,F_not_single,other,unskilled,own,0,1,5,1,3,12,True
7814,3,3,38,1,1,existing_credit_paid,car_used,M_single,other,management,own,1,1,0,1,5,24,True
2002,3,4,30,1,2,existing_credit_paid,car_new,M_single,life_insurance  ,official,rent,1,1,2,1,5,12,True
14555,1,2,23,1,1,existing_credit_paid,car_new,M_single,life_insurance  ,unemployed,own,1,1,2,0,0,6,False
2292,4,2,42,2,1,critical_account,business,M_single,other,management,own,1,1,0,1,0,12,False
3620,1,2,37,1,2,existing_credit_paid,furniture_equipment,M_single,life_insurance  ,official,own,0,1,-1,1,3,36,True
708,2,3,38,1,2,existing_credit_paid,furniture_equipment,M_single,life_insurance  ,unskilled,own,0,1,-1,1,3,12,True
2022,4,4,37,1,1,critical_account,car_new,F_not_single,other,official,own,1,1,0,1,3,24,True
939,4,2,28,3,1,critical_account,car_new,M_divorced,real_estate ,official,own,1,1,5,5,5,12,False
1721,2,3,36,1,1,existing_credit_paid,car_new,M_single,real_estate ,official,own,0,1,-1,1,1,15,True
1275,4,2,24,1,1,existing_credit_paid,domestic_appliances,F_not_single,other,official,rent,0,1,-1,0,3,15,False
759,4,2,26,1,1,existing_credit_paid,car_new,M_single,real_estate ,official,own,0,1,-1,1,5,12,False
6468,2,1,52,1,1,existing_credit_paid,radio_TV,M_single,no_property,management,own,1,1,2,0,0,12,False
2580,4,2,41,1,2,delay_in_paying,business,M_single,real_estate ,unskilled,own,0,1,0,5,1,21,False
674,4,1,20,1,1,existing_credit_paid,radio_TV,M_divorced,life_insurance  ,official,own,0,1,-1,3,5,12,False
2957,4,4,63,2,1,critical_account,car_used,M_single,life_insurance  ,official,own,1,1,-1,1,7,24,True
6260,3,3,28,1,1,existing_credit_paid,car_new,M_single,real_estate ,unskilled,rent,0,1,2,1,5,18,True
936,4,2,52,2,1,critical_account,education,M_single,other,official,own,1,1,0,5,7,9,True
11938,2,3,39,2,2,critical_account,others,M_single,other,management,own,1,1,2,1,3,24,False
9857,1,3,31,2,2,delay_in_paying,business,M_single,life_insurance  ,unskilled,own,1,1,2,3,5,36,True
1858,4,1,22,1,1,existing_credit_paid,furniture_equipment,F_not_single,other,official,rent,0,1,-1,1,1,12,True
1287,4,2,45,1,1,existing_credit_paid,car_new,M_single,life_insurance  ,unskilled,own,0,0,0,0,7,10,True
5248,1,3,26,1,1,existing_credit_paid,car_used,M_single,other,official,own,0,1,0,0,3,21,True
571,4,4,65,2,1,critical_account,car_new,M_single,real_estate ,official,own,0,1,-1,1,7,21,True
5711,4,2,38,2,1,critical_account,car_used,M_single,other,management,own,1,1,0,7,7,36,True
1413,4,2,28,1,1,existing_credit_paid,radio_TV,M_divorced,life_insurance  ,official,own,0,1,0,1,3,24,True
806,4,4,22,1,1,existing_credit_paid,business,F_not_single,life_insurance  ,unskilled,own,0,1,-1,1,3,15,True
1271,3,4,39,2,1,critical_account,radio_TV,M_single,no_property,official,free,1,1,5,0,3,15,False
5507,3,4,44,2,1,critical_account,repairs,M_single,no_property,official,free,0,1,0,1,7,24,True
682,4,3,51,2,1,critical_account,car_new,F_not_single,other,official,own,1,1,0,3,5,12,True
1927,3,2,33,2,1,critical_account,education,F_not_single,other,official,own,1,1,0,0,3,24,True
1386,4,2,40,1,1,existing_credit_paid,radio_TV,M_divorced,real_estate ,official,rent,1,1,0,0,3,15,True
1228,4,2,24,1,1,existing_credit_paid,car_new,F_not_single,real_estate ,unskilled,own,0,1,-1,1,3,12,False
1538,1,2,56,1,1,existing_credit_paid,education,F_not_single,no_property,official,own,0,1,0,1,1,6,True
4611,1,4,32,1,1,existing_credit_paid,furniture_equipment,F_not_single,life_insurance  ,official,own,0,1,0,1,1,6,False
1209,4,4,47,1,1,delay_in_paying,car_new,M_single,life_insurance  ,management,own,1,1,2,1,0,6,False
1123,4,4,29,1,1,existing_credit_paid,furniture_equipment,F_not_single,other,unskilled,rent,0,1,0,5,3,12,False
3552,3,4,27,1,1,all_credit_paid,furniture_equipment,M_single,other,official,own,0,1,-1,1,5,24,False
3758,1,4,23,1,1,existing_credit_paid,radio_TV,F_not_single,no_property,unemployed,rent,0,1,2,5,0,24,True
8358,1,1,30,2,1,no_credit_taken,car_new,F_not_single,other,official,own,0,1,2,5,1,48,True
1225,2,2,37,1,1,existing_credit_paid,domestic_appliances,M_single,other,official,own,1,1,5,1,3,10,True
2051,4,1,33,1,1,existing_credit_paid,radio_TV,M_single,real_estate ,official,own,0,1,0,1,1,18,True
5954,3,2,38,1,1,critical_account,radio_TV,M_single,other,official,own,0,1,0,1,5,30,True
2570,3,3,21,1,1,existing_credit_paid,car_new,F_not_single,real_estate ,official,rent,0,1,0,1,3,27,False
7980,4,4,27,2,1,delay_in_paying,business,M_single,other,official,rent,1,1,0,0,1,36,False
9277,2,4,48,1,1,existing_credit_paid,car_used,M_divorced,no_property,official,free,1,1,0,0,3,24,True
1240,4,2,38,2,1,critical_account,radio_TV,F_not_single,real_estate ,official,own,1,1,0,0,7,12,True
5150,4,4,33,1,1,critical_account,furniture_equipment,M_single,other,official,own,1,1,0,1,7,24,True
1493,4,3,34,1,2,existing_credit_paid,radio_TV,F_not_single,other,official,own,0,1,0,1,1,12,True
8487,1,2,24,1,1,existing_credit_paid,car_new,F_not_single,other,official,own,0,1,2,0,5,48,True
915,4,2,29,1,1,existing_credit_paid,car_new,F_not_single,other,official,own,0,1,-1,0,7,24,False
909,4,4,36,1,1,existing_credit_paid,car_new,M_single,life_insurance  ,official,own,0,1,0,5,7,36,True
1424,3,4,55,1,1,existing_credit_paid,furniture_equipment,F_not_single,real_estate ,management,own,1,1,5,0,7,12,True
795,4,4,53,1,1,existing_credit_paid,education,F_not_single,life_insurance  ,official,own,0,1,-1,1,1,12,False
5152,4,2,25,1,1,existing_credit_paid,radio_TV,M_single,other,official,own,0,1,5,1,5,24,True
1409,2,4,64,1,1,existing_credit_paid,radio_TV,F_not_single,real_estate ,official,own,0,1,0,3,0,13,True
1424,4,3,26,1,1,critical_account,domestic_appliances,M_single,life_insurance  ,official,own,0,1,2,1,5,12,True
1068,4,4,28,1,2,existing_credit_paid,radio_TV,M_single,other,official,own,0,1,2,1,7,6,True
707,4,2,30,2,1,existing_credit_paid,radio_TV,M_single,real_estate ,official,own,0,1,0,1,3,12,True
8947,3,2,31,1,2,delay_in_paying,car_used,M_single,other,management,own,1,1,0,0,5,36,True
1893,4,4,29,1,1,existing_credit_paid,car_new,F_not_single,life_insurance  ,official,own,1,1,-1,1,3,12,True
6967,4,4,36,1,1,delay_in_paying,business,M_single,other,management,rent,1,1,2,3,5,24,True
1238,4,4,36,1,2,existing_credit_paid,retraining,M_single,life_insurance  ,management,own,1,1,0,0,0,6,True
2631,3,2,25,1,1,existing_credit_paid,repairs,F_not_single,real_estate ,unskilled,own,0,1,2,3,3,15,True
8588,4,2,45,1,1,existing_credit_paid,car_used,M_single,other,management,own,1,1,0,3,7,39,True
5804,4,2,27,2,1,critical_account,car_used,M_single,real_estate ,official,own,0,1,0,7,3,24,True
2520,4,2,23,2,1,critical_account,radio_TV,M_single,life_insurance  ,unskilled,own,0,1,2,5,3,27,False
338,4,4,52,2,1,critical_account,radio_TV,M_single,other,official,own,0,1,-1,5,7,6,True
7855,4,2,25,2,1,critical_account,car_new,F_not_single,real_estate ,official,own,1,1,0,1,3,36,False
409,3,3,42,2,1,all_credit_paid,radio_TV,F_not_single,real_estate ,official,rent,0,1,5,7,3,12,True
750,4,1,27,1,1,existing_credit_paid,education,F_not_single,real_estate ,unemployed,own,0,1,-1,1,0,18,False
2118,2,2,37,1,2,existing_credit_paid,radio_TV,M_single,real_estate ,unskilled,own,0,1,2,1,3,9,True
2284,4,2,28,1,1,existing_credit_paid,radio_TV,M_single,other,official,own,1,1,0,1,5,24,True
1572,4,4,36,1,1,existing_credit_paid,business,F_not_single,real_estate ,unskilled,own,0,1,0,7,7,21,True
1038,4,3,49,2,1,critical_account,car_new,M_single,life_insurance  ,official,own,1,1,-1,1,5,10,True
1884,4,4,39,1,1,existing_credit_paid,car_new,M_single,other,management,own,1,1,0,1,7,12,True
3244,1,4,33,2,1,no_credit_taken,furniture_equipment,F_not_single,other,official,own,1,1,2,1,3,18,True
1092,4,4,49,2,1,existing_credit_paid,radio_TV,F_not_single,real_estate ,official,own,1,1,2,1,3,12,True
1291,4,2,35,2,1,critical_account,radio_TV,F_not_single,life_insurance  ,official,own,0,1,0,1,3,12,True
1740,2,2,30,2,1,critical_account,radio_TV,M_divorced,real_estate ,official,rent,0,1,0,1,7,6,True
1169,4,4,67,2,1,critical_account,radio_TV,M_single,real_estate ,official,own,1,1,-1,0,7,6,True
1113,4,4,26,1,2,existing_credit_paid,radio_TV,F_not_single,real_estate ,unskilled,own,0,1,2,1,3,18,True
3777,4,4,50,1,1,critical_account,furniture_equipment,M_single,real_estate ,official,own,1,1,0,7,3,24,True
1193,1,4,29,2,1,all_credit_paid,car_new,F_not_single,no_property,unemployed,rent,0,1,-1,1,0,24,False
2753,3,4,35,1,1,existing_credit_paid,radio_TV,M_single,other,official,own,1,1,0,3,7,9,True
1158,3,1,26,1,1,existing_credit_paid,radio_TV,M_divorced,other,official,own,1,1,2,5,3,12,True
2145,2,1,24,2,1,delay_in_paying,business,M_single,other,official,own,1,1,-1,1,5,36,False
983,1,4,19,1,1,existing_credit_paid,furniture_equipment,F_not_single,real_estate ,unskilled,rent,0,1,2,7,1,12,True
4679,3,3,35,2,1,delay_in_paying,car_used,M_single,other,unskilled,own,1,1,0,1,5,24,True
1402,3,4,37,1,1,critical_account,furniture_equipment,F_not_single,other,official,rent,1,1,0,5,5,12,True
2969,4,3,25,2,1,no_credit_taken,furniture_equipment,F_not_single,life_insurance  ,official,rent,0,1,2,1,1,12,False
6527,4,4,34,1,2,existing_credit_paid,car_new,M_single,no_property,official,free,1,1,0,0,3,60,True
7432,2,2,54,1,1,delay_in_paying,car_new,F_not_single,life_insurance  ,official,rent,0,1,2,1,3,36,True
1922,4,2,37,1,1,existing_credit_paid,furniture_equipment,M_single,life_insurance  ,unskilled,own,0,1,2,1,3,12,False
2333,4,2,29,1,1,delay_in_paying,furniture_equipment,M_single,life_insurance  ,unskilled,own,0,1,2,0,1,24,True
1680,3,1,35,1,1,existing_credit_paid,radio_TV,M_divorced,real_estate ,official,own,0,1,-1,5,7,12,True
730,4,2,46,2,1,critical_account,radio_TV,M_single,life_insurance  ,unskilled,rent,1,1,0,0,7,7,True
1207,4,4,24,1,1,existing_credit_paid,car_new,F_not_single,life_insurance  ,official,rent,0,1,-1,1,1,24,False
4272,2,2,26,2,1,delay_in_paying,business,M_single,life_insurance  ,unskilled,own,0,1,0,3,3,30,True
7057,3,4,36,2,2,delay_in_paying,car_used,M_single,life_insurance  ,management,rent,1,1,2,0,5,20,True
1412,4,2,29,2,1,critical_account,business,F_not_single,real_estate ,management,own,1,1,0,1,3,12,True
3757,4,4,62,1,1,existing_credit_paid,car_new,F_not_single,no_property,official,free,1,1,0,1,7,24,True
1301,4,2,32,1,1,existing_credit_paid,radio_TV,M_divorced,real_estate ,unskilled,own,0,1,2,1,7,18,True
2782,1,2,31,1,1,existing_credit_paid,car_new,F_not_single,other,management,own,0,1,0,5,5,21,True
1585,4,3,40,2,1,critical_account,furniture_equipment,M_single,life_insurance  ,official,own,0,1,0,1,5,24,True
2186,1,4,33,1,1,existing_credit_paid,furniture_equipment,F_not_single,real_estate ,unskilled,rent,0,1,0,0,5,15,True
1534,1,1,23,1,1,existing_credit_paid,radio_TV,M_divorced,real_estate ,official,rent,0,1,2,1,1,12,False
5801,2,4,49,1,1,critical_account,furniture_equipment,M_single,life_insurance  ,official,rent,1,1,0,0,7,12,True
1967,4,4,20,1,1,existing_credit_paid,radio_TV,F_not_single,other,official,own,1,1,2,1,7,24,True
14318,4,2,57,1,1,existing_credit_paid,car_new,M_single,no_property,management,free,1,1,2,1,7,36,False
4716,1,3,44,2,2,critical_account,car_new,M_single,real_estate ,unskilled,own,0,1,-1,0,1,6,True
5371,3,2,28,2,1,critical_account,furniture_equipment,M_single,life_insurance  ,official,own,0,1,-1,1,3,36,True
2476,4,4,46,1,1,existing_credit_paid,car_used,M_single,real_estate ,management,own,1,1,0,0,7,21,True
9034,4,1,29,1,1,existing_credit_paid,furniture_equipment,M_single,no_property,management,rent,1,1,2,3,1,36,False
1977,4,4,40,1,1,existing_credit_paid,education,M_single,no_property,management,own,1,1,-1,0,7,36,False
3416,3,2,27,1,1,existing_credit_paid,radio_TV,M_single,other,management,own,0,1,-1,1,3,27,True
4241,1,4,36,3,1,no_credit_taken,business,M_single,real_estate ,unskilled,own,1,1,2,1,3,24,False
6110,1,3,31,1,1,critical_account,education,M_single,no_property,official,free,1,1,0,1,3,48,True
754,4,4,38,2,1,existing_credit_paid,retraining,M_single,life_insurance  ,official,own,0,1,2,0,7,12,True
4370,3,2,26,2,2,delay_in_paying,radio_TV,M_single,life_insurance  ,official,own,1,1,-1,1,5,42,False
1715,4,1,26,1,1,existing_credit_paid,radio_TV,F_not_single,other,official,own,0,1,2,0,3,30,True
9157,2,2,27,1,1,delay_in_paying,radio_TV,M_single,no_property,management,free,0,1,2,0,3,60,True
2964,4,4,49,1,2,existing_credit_paid,car_used,M_single,no_property,official,free,1,1,-1,0,7,24,True
10722,1,1,35,1,1,existing_credit_paid,car_new,F_not_single,real_estate ,unskilled,own,1,1,-1,1,1,47,True
1274,3,1,37,1,1,existing_credit_paid,car_new,F_not_single,real_estate ,unskilled,own,0,1,-1,1,1,12,False
804,4,4,38,1,1,existing_credit_paid,radio_TV,M_single,other,official,own,0,1,0,1,7,12,True
4933,2,2,25,2,1,critical_account,radio_TV,M_single,real_estate ,official,own,0,1,2,1,5,39,False
2708,2,3,27,2,1,existing_credit_paid,furniture_equipment,M_single,life_insurance  ,unskilled,own,0,1,0,1,1,15,True
1620,2,3,30,1,1,existing_credit_paid,furniture_equipment,F_not_single,life_insurance  ,official,own,0,1,-1,1,3,12,True
4113,3,4,28,1,1,existing_credit_paid,car_used,F_not_single,other,official,rent,0,1,2,5,1,24,False
1028,4,3,36,2,1,critical_account,car_new,F_not_single,real_estate ,official,own,0,1,0,1,3,18,True
13756,2,4,63,1,1,critical_account,car_new,M_single,no_property,management,free,1,1,0,0,7,60,True
7596,1,4,63,2,1,critical_account,car_used,M_single,other,official,own,0,1,0,0,7,30,True
1449,3,2,27,2,1,existing_credit_paid,business,F_not_single,other,official,own,0,1,0,1,5,9,True
3832,2,1,22,1,1,existing_credit_paid,furniture_equipment,M_divorced,life_insurance  ,official,own,0,1,2,1,1,30,True
5324,1,4,35,1,1,existing_credit_paid,car_new,F_not_single,no_property,official,free,0,1,0,5,7,15,True
1049,4,4,21,1,1,critical_account,furniture_equipment,F_not_single,life_insurance  ,official,rent,0,1,-1,1,1,18,True
1582,4,4,46,2,1,critical_account,radio_TV,M_single,other,official,own,0,1,0,7,7,18,True
1082,4,4,48,2,1,no_credit_taken,car_new,M_single,other,official,own,0,1,-1,1,3,12,False
3049,1,1,45,1,1,existing_credit_paid,furniture_equipment,F_not_single,life_insurance  ,unskilled,own,0,1,5,1,1,18,True
